cluster_id,pilot_id,complex_name,addr_legal,addr_road,approval_date,dong_token,alias_applied,sigunguCd,bjdongCd,platGbCd,bun,ji,bjd10,query_variant,variant_of,query_key,parse_status,lookup_status,code_source,needs_review,needs_map_check,dup_cluster_ids,note
A10028048,DEV-DONGTAN2,동탄역시범호반써밋,경기도 화성동탄구 청계동 525,경기도 화성시 동탄대로시범길 122,2015-02-12,청계동,,41597,10500,0,0525,0000,4159710500,new,,41597-10500-0-0525-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10028048,
A10028048,DEV-DONGTAN2,동탄역시범호반써밋,경기도 화성동탄구 청계동 525,경기도 화성시 동탄대로시범길 122,2015-02-12,청계동,,41590,13000,0,0525,0000,4159013000,legacy,A10028048,41590-13000-0-0525-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10028048,
A10028120,DEV-DONGTAN2,동탄역시범대원칸타빌,경기도 화성동탄구 청계동 516,경기도 화성시 동탄대로시범길 53,2015-03-30,청계동,,41597,10500,0,0516,0000,4159710500,new,,41597-10500-0-0516-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10028120,
A10028120,DEV-DONGTAN2,동탄역시범대원칸타빌,경기도 화성동탄구 청계동 516,경기도 화성시 동탄대로시범길 53,2015-03-30,청계동,,41590,13000,0,0516,0000,4159013000,legacy,A10028120,41590-13000-0-0516-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10028120,
A10027928,DEV-DONGTAN2,동탄역센트럴푸르지오,경기도 화성동탄구 청계동 510-889,경기도 화성시 동탄순환대로21길 54,2015-06-12,청계동,,41597,10500,0,0510,0889,4159710500,new,,41597-10500-0-0510-0889,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027928,
A10027928,DEV-DONGTAN2,동탄역센트럴푸르지오,경기도 화성동탄구 청계동 510-889,경기도 화성시 동탄순환대로21길 54,2015-06-12,청계동,,41590,13000,0,0510,0889,4159013000,legacy,A10027928,41590-13000-0-0510-0889,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027928,
A10027890,DEV-DONGTAN2,동탄역롯데캐슬알바트로스아파트,경기도 화성동탄구 청계동 510-582,경기도 화성시 동탄순환대로21길 53,2015-07-03,청계동,,41597,10500,0,0510,0582,4159710500,new,,41597-10500-0-0510-0582,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027890,
A10027890,DEV-DONGTAN2,동탄역롯데캐슬알바트로스아파트,경기도 화성동탄구 청계동 510-582,경기도 화성시 동탄순환대로21길 53,2015-07-03,청계동,,41590,13000,0,0510,0582,4159013000,legacy,A10027890,41590-13000-0-0510-0582,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027890,
A10027966,DEV-DONGTAN2,동탄역호반써밋,경기도 화성동탄구 청계동 49-102,경기도 화성시 동탄순환대로22길 45,2015-07-10,청계동,,41597,10500,0,0049,0102,4159710500,new,,41597-10500-0-0049-0102,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027966,
A10027966,DEV-DONGTAN2,동탄역호반써밋,경기도 화성동탄구 청계동 49-102,경기도 화성시 동탄순환대로22길 45,2015-07-10,청계동,,41590,13000,0,0049,0102,4159013000,legacy,A10027966,41590-13000-0-0049-0102,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027966,
A10027729,DEV-DONGTAN2,동탄역시범더샵센트럴시티아파트,경기도 화성동탄구 청계동 519,경기도 화성시 동탄대로시범길 19,2015-08-21,청계동,,41597,10500,0,0519,0000,4159710500,new,,41597-10500-0-0519-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027729,
A10027729,DEV-DONGTAN2,동탄역시범더샵센트럴시티아파트,경기도 화성동탄구 청계동 519,경기도 화성시 동탄대로시범길 19,2015-08-21,청계동,,41590,13000,0,0519,0000,4159013000,legacy,A10027729,41590-13000-0-0519-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027729,
A10027732,DEV-DONGTAN2,동탄역대원칸타빌 포레지움,경기도 화성동탄구 청계동 558,경기도 화성시 동탄순환대로21길 54,2015-08-30,청계동,,41597,10500,0,0558,0000,4159710500,new,,41597-10500-0-0558-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027732,
A10027732,DEV-DONGTAN2,동탄역대원칸타빌 포레지움,경기도 화성동탄구 청계동 558,경기도 화성시 동탄순환대로21길 54,2015-08-30,청계동,,41590,13000,0,0558,0000,4159013000,legacy,A10027732,41590-13000-0-0558-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027732,
A10027830,DEV-DONGTAN2,동탄역시범한화꿈에그린프레스티지아파트,경기도 화성동탄구 청계동 510-88,경기도 화성시 동탄대로시범길 20,2015-09-25,청계동,,41597,10500,0,0510,0088,4159710500,new,,41597-10500-0-0510-0088,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027830,
A10027830,DEV-DONGTAN2,동탄역시범한화꿈에그린프레스티지아파트,경기도 화성동탄구 청계동 510-88,경기도 화성시 동탄대로시범길 20,2015-09-25,청계동,,41590,13000,0,0510,0088,4159013000,legacy,A10027830,41590-13000-0-0510-0088,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027830,
A10027646,DEV-DONGTAN2,동탄역 신안인스빌리베라,경기도 화성동탄구 청계동 545,경기도 화성시 동탄순환대로21길 15,2015-10-19,청계동,,41597,10500,0,0545,0000,4159710500,new,,41597-10500-0-0545-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027646,
A10027646,DEV-DONGTAN2,동탄역 신안인스빌리베라,경기도 화성동탄구 청계동 545,경기도 화성시 동탄순환대로21길 15,2015-10-19,청계동,,41590,13000,0,0545,0000,4159013000,legacy,A10027646,41590-13000-0-0545-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027646,
A10027798,DEV-DONGTAN2,화성동탄상록리슈빌아파트,경기도 화성동탄구 영천동 651-1488,경기도 화성시 동탄순환대로 706,2015-11-11,영천동,,41597,10600,0,0651,1488,4159710600,new,,41597-10600-0-0651-1488,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027798,
A10027798,DEV-DONGTAN2,화성동탄상록리슈빌아파트,경기도 화성동탄구 영천동 651-1488,경기도 화성시 동탄순환대로 706,2015-11-11,영천동,,41590,13100,0,0651,1488,4159013100,legacy,A10027798,41590-13100-0-0651-1488,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027798,
A10027806,DEV-DONGTAN2,동탄2 LH 4단지,경기도 화성동탄구 영천동 722,경기도 화성시 동탄순환대로24길 11,2015-12-02,영천동,,41597,10600,0,0722,0000,4159710600,new,,41597-10600-0-0722-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027806,
A10027806,DEV-DONGTAN2,동탄2 LH 4단지,경기도 화성동탄구 영천동 722,경기도 화성시 동탄순환대로24길 11,2015-12-02,영천동,,41590,13100,0,0722,0000,4159013100,legacy,A10027806,41590-13100-0-0722-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027806,
A10027768,DEV-DONGTAN2,동탄역 시범반도유보라아이비파크1.0,경기도 화성동탄구 청계동 510-838,경기도 화성시 동탄대로시범길 168,2015-12-22,청계동,,41597,10500,0,0510,0838,4159710500,new,,41597-10500-0-0510-0838,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027768,
A10027768,DEV-DONGTAN2,동탄역 시범반도유보라아이비파크1.0,경기도 화성동탄구 청계동 510-838,경기도 화성시 동탄대로시범길 168,2015-12-22,청계동,,41590,13000,0,0510,0838,4159013000,legacy,A10027768,41590-13000-0-0510-0838,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027768,
A10027606,DEV-DONGTAN2,동탄역반도유보라아이비파크2.0 아파트,경기도 화성동탄구 영천동 716,경기도 화성시 동탄순환대로26길 55,2016-02-05,영천동,,41597,10600,0,0716,0000,4159710600,new,,41597-10600-0-0716-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027606,
A10027606,DEV-DONGTAN2,동탄역반도유보라아이비파크2.0 아파트,경기도 화성동탄구 영천동 716,경기도 화성시 동탄순환대로26길 55,2016-02-05,영천동,,41590,13100,0,0716,0000,4159013100,legacy,A10027606,41590-13100-0-0716-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027606,
A10027386,DEV-DONGTAN2,동탄2 경남아너스빌아파트,경기도 화성동탄구 영천동 677,경기도 화성시 동탄순환대로25길 21,2016-07-20,영천동,,41597,10600,0,0677,0000,4159710600,new,,41597-10600-0-0677-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027386,
A10027386,DEV-DONGTAN2,동탄2 경남아너스빌아파트,경기도 화성동탄구 영천동 677,경기도 화성시 동탄순환대로25길 21,2016-07-20,영천동,,41590,13100,0,0677,0000,4159013100,legacy,A10027386,41590-13100-0-0677-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027386,
A10027465,DEV-DONGTAN2,동탄2 반도유보라아이비파크3차아파트,경기도 화성동탄구 여울동 474-9,경기도 화성시 동탄대로12길 17,2016-07-20,여울동,,41597,11500,0,0474,0009,4159711500,new,,41597-11500-0-0474-0009,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027465|A10027465,DUP_COUNT: 2
A10027465,DEV-DONGTAN2,동탄2 반도유보라아이비파크3차아파트,경기도 화성동탄구 여울동 474-9,경기도 화성시 동탄대로12길 17,2016-07-20,여울동,,41590,,0,0474,0009,,legacy,A10027465,41590--0-0474-0009,SUCCESS,MISS,,True,False,A10027465|A10027465,DUP_COUNT: 2
A10027436,DEV-DONGTAN2,동탄2 금강펜테리움 1차아파트,경기도 화성동탄구 여울동 967-2269,경기도 화성시 동탄대로12길 64,2016-07-25,여울동,,41597,11500,0,0967,2269,4159711500,new,,41597-11500-0-0967-2269,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027436,
A10027436,DEV-DONGTAN2,동탄2 금강펜테리움 1차아파트,경기도 화성동탄구 여울동 967-2269,경기도 화성시 동탄대로12길 64,2016-07-25,여울동,,41590,,0,0967,2269,,legacy,A10027436,41590--0-0967-2269,SUCCESS,MISS,,True,False,A10027436,
A10027334,DEV-DONGTAN2,신안인스빌리베라2차아파트,경기도 화성동탄구 청계동 547,경기도 화성시 동탄청계로 303-13,2016-10-18,청계동,,41597,10500,0,0547,0000,4159710500,new,,41597-10500-0-0547-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027334,
A10027334,DEV-DONGTAN2,신안인스빌리베라2차아파트,경기도 화성동탄구 청계동 547,경기도 화성시 동탄청계로 303-13,2016-10-18,청계동,,41590,13000,0,0547,0000,4159013000,legacy,A10027334,41590-13000-0-0547-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027334,
A10027291,DEV-DONGTAN2,동탄2 LH26단지(65BL)아파트,경기도 화성동탄구 송동 692,경기도 화성시 동탄대로9길 20,2016-11-03,송동,,41597,11200,0,0692,0000,4159711200,new,,41597-11200-0-0692-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027291,
A10027291,DEV-DONGTAN2,동탄2 LH26단지(65BL)아파트,경기도 화성동탄구 송동 692,경기도 화성시 동탄대로9길 20,2016-11-03,송동,,41590,13700,0,0692,0000,4159013700,legacy,A10027291,41590-13700-0-0692-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027291,
A10027281,DEV-DONGTAN2,동탄2신도시 하우스디 더 레이크,경기도 화성동탄구 송동 693,경기도 화성시 동탄대로9길 19,2016-11-03,송동,,41597,11200,0,0693,0000,4159711200,new,,41597-11200-0-0693-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027281,
A10027281,DEV-DONGTAN2,동탄2신도시 하우스디 더 레이크,경기도 화성동탄구 송동 693,경기도 화성시 동탄대로9길 19,2016-11-03,송동,,41590,13700,0,0693,0000,4159013700,legacy,A10027281,41590-13700-0-0693-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027281,
A10027257,DEV-DONGTAN2,동탄역에일린의 뜰,경기도 화성동탄구 여울동 998,경기도 화성시 동탄기흥로353번길 77,2016-12-09,여울동,,41597,11500,0,0998,0000,4159711500,new,,41597-11500-0-0998-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027257,
A10027257,DEV-DONGTAN2,동탄역에일린의 뜰,경기도 화성동탄구 여울동 998,경기도 화성시 동탄기흥로353번길 77,2016-12-09,여울동,,41590,,0,0998,0000,,legacy,A10027257,41590--0-0998-0000,SUCCESS,MISS,,True,False,A10027257,
A10027095,DEV-DONGTAN2,센트럴힐즈 동탄아파트,경기도 화성동탄구 여울동 40,경기도 화성시 동탄대로12길 71,2017-01-20,여울동,,41597,11500,0,0040,0000,4159711500,new,,41597-11500-0-0040-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027095,
A10027095,DEV-DONGTAN2,센트럴힐즈 동탄아파트,경기도 화성동탄구 여울동 40,경기도 화성시 동탄대로12길 71,2017-01-20,여울동,,41590,,0,0040,0000,,legacy,A10027095,41590--0-0040-0000,SUCCESS,MISS,,True,False,A10027095,
A10027133,DEV-DONGTAN2,동탄2 LH C26단지 행복주택,경기도 화성동탄구 여울동 1017,경기도 화성시 동탄기흥로 11,2017-02-13,여울동,,41597,11500,0,1017,0000,4159711500,new,,41597-11500-0-1017-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027133,
A10027133,DEV-DONGTAN2,동탄2 LH C26단지 행복주택,경기도 화성동탄구 여울동 1017,경기도 화성시 동탄기흥로 11,2017-02-13,여울동,,41590,,0,1017,0000,,legacy,A10027133,41590--0-1017-0000,SUCCESS,MISS,,True,False,A10027133,
A10027117,DEV-DONGTAN2,동탄역더힐아파트,경기도 화성동탄구 청계동 556,경기도 화성시 동탄순환대로22길 46,2017-02-28,청계동,,41597,10500,0,0556,0000,4159710500,new,,41597-10500-0-0556-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027117,
A10027117,DEV-DONGTAN2,동탄역더힐아파트,경기도 화성동탄구 청계동 556,경기도 화성시 동탄순환대로22길 46,2017-02-28,청계동,,41590,13000,0,0556,0000,4159013000,legacy,A10027117,41590-13000-0-0556-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027117,
A10027122,DEV-DONGTAN2,동탄역 포레너스 입주자대표회의,경기도 화성동탄구 영천동 720,경기도 화성시 동탄대로24길 199,2017-03-06,영천동,,41597,10600,0,0720,0000,4159710600,new,,41597-10600-0-0720-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10027122,
A10027122,DEV-DONGTAN2,동탄역 포레너스 입주자대표회의,경기도 화성동탄구 영천동 720,경기도 화성시 동탄대로24길 199,2017-03-06,영천동,,41590,13100,0,0720,0000,4159013100,legacy,A10027122,41590-13100-0-0720-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10027122,
A10026985,DEV-DONGTAN2,동탄 호반써밋포레,경기도 화성동탄구 목동 494,경기도 화성시 동탄신리천로1길 74,2017-06-02,목동,,41597,10900,0,0494,0000,4159710900,new,,41597-10900-0-0494-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10026985,
A10026985,DEV-DONGTAN2,동탄 호반써밋포레,경기도 화성동탄구 목동 494,경기도 화성시 동탄신리천로1길 74,2017-06-02,목동,,41590,13400,0,0494,0000,4159013400,legacy,A10026985,41590-13400-0-0494-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10026985,
A10026957,DEV-DONGTAN2,동탄역푸르지오,경기도 화성동탄구 영천동 321-1,경기도 화성시 동탄순환대로 881-10,2017-06-23,영천동,,41597,10600,0,0321,0001,4159710600,new,,41597-10600-0-0321-0001,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10026957,
A10026957,DEV-DONGTAN2,동탄역푸르지오,경기도 화성동탄구 영천동 321-1,경기도 화성시 동탄순환대로 881-10,2017-06-23,영천동,,41590,13100,0,0321,0001,4159013100,legacy,A10026957,41590-13100-0-0321-0001,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10026957,
A10026909,DEV-DONGTAN2,동탄역시범 금강펜테리움 센트럴파크3,경기도 화성동탄구 청계동 514,경기도 화성시 동탄대로시범길 235,2017-06-29,청계동,,41597,10500,0,0514,0000,4159710500,new,,41597-10500-0-0514-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10026909,
A10026909,DEV-DONGTAN2,동탄역시범 금강펜테리움 센트럴파크3,경기도 화성동탄구 청계동 514,경기도 화성시 동탄대로시범길 235,2017-06-29,청계동,,41590,13000,0,0514,0000,4159013000,legacy,A10026909,41590-13000-0-0514-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10026909,
A10026888,DEV-DONGTAN2,동탄역센트럴상록아파트,경기도 화성동탄구 영천동 662,경기도 화성시 동탄대로22길 9,2017-06-30,영천동,,41597,10600,0,0662,0000,4159710600,new,,41597-10600-0-0662-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10026888,
A10026888,DEV-DONGTAN2,동탄역센트럴상록아파트,경기도 화성동탄구 영천동 662,경기도 화성시 동탄대로22길 9,2017-06-30,영천동,,41590,13100,0,0662,0000,4159013100,legacy,A10026888,41590-13100-0-0662-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10026888,
A10026788,DEV-DONGTAN2,동탄호수공원금강펜테리움센트럴파크2차,경기도 화성동탄구 산척동,경기도 화성시 동탄산척로2길 56,2017-07-28,산척동,,41597,11000,0,0000,0000,4159711000,new,,41597-11000-0-0000-0000,FAIL,SUCCESS,code_go_kr:active,False,False,A10026788|A10026496|A10025909,DUP_COUNT: 3
A10026788,DEV-DONGTAN2,동탄호수공원금강펜테리움센트럴파크2차,경기도 화성동탄구 산척동,경기도 화성시 동탄산척로2길 56,2017-07-28,산척동,,41590,13500,0,0000,0000,4159013500,legacy,A10026788,41590-13500-0-0000-0000,FAIL,SUCCESS,code_go_kr:abolished,True,False,A10026788|A10026496|A10025909,DUP_COUNT: 3
A10026805,DEV-DONGTAN2,동탄역 반도유보라아이비파크5차,경기도 화성동탄구 여울동 988,경기도 화성시 동탄기흥로 393-15,2017-09-14,여울동,,41597,11500,0,0988,0000,4159711500,new,,41597-11500-0-0988-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10026805,
A10026805,DEV-DONGTAN2,동탄역 반도유보라아이비파크5차,경기도 화성동탄구 여울동 988,경기도 화성시 동탄기흥로 393-15,2017-09-14,여울동,,41590,,0,0988,0000,,legacy,A10026805,41590--0-0988-0000,SUCCESS,MISS,,True,False,A10026805,
A10026774,DEV-DONGTAN2,동탄역 반도유보라아이비파크6차,경기도 화성동탄구 여울동 972,경기도 화성시 동탄기흥로 479-12,2017-09-14,여울동,,41597,11500,0,0972,0000,4159711500,new,,41597-11500-0-0972-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10026774,
A10026774,DEV-DONGTAN2,동탄역 반도유보라아이비파크6차,경기도 화성동탄구 여울동 972,경기도 화성시 동탄기흥로 479-12,2017-09-14,여울동,,41590,,0,0972,0000,,legacy,A10026774,41590--0-0972-0000,SUCCESS,MISS,,True,False,A10026774,
A10026740,DEV-DONGTAN2,동탄역 센트럴예미지 아파트,경기도 화성동탄구 영천동 670,경기도 화성시 동탄순환대로27길 45,2017-09-27,영천동,,41597,10600,0,0670,0000,4159710600,new,,41597-10600-0-0670-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10026740,
A10026740,DEV-DONGTAN2,동탄역 센트럴예미지 아파트,경기도 화성동탄구 영천동 670,경기도 화성시 동탄순환대로27길 45,2017-09-27,영천동,,41590,13100,0,0670,0000,4159013100,legacy,A10026740,41590-13100-0-0670-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10026740,
A10026689,DEV-DONGTAN2,동탄2 르파비스,경기도 화성동탄구 목동,경기도 화성시 동탄순환대로20길 115,2017-11-07,목동,,41597,10900,0,0000,0000,4159710900,new,,41597-10900-0-0000-0000,FAIL,SUCCESS,code_go_kr:active,False,False,A10026689|A10026584|A10026535|A10026087|A10025968|A10025880|A10025603|A10025622,DUP_COUNT: 8
A10026689,DEV-DONGTAN2,동탄2 르파비스,경기도 화성동탄구 목동,경기도 화성시 동탄순환대로20길 115,2017-11-07,목동,,41590,13400,0,0000,0000,4159013400,legacy,A10026689,41590-13400-0-0000-0000,FAIL,SUCCESS,code_go_kr:abolished,True,False,A10026689|A10026584|A10026535|A10026087|A10025968|A10025880|A10025603|A10025622,DUP_COUNT: 8
A10026587,DEV-DONGTAN2,레이크반도유보라아이비파크9.0,경기도 화성동탄구 장지동 1009,경기도 화성시 동탄대로4길 95,2017-12-28,장지동,,41597,11100,0,1009,0000,4159711100,new,,41597-11100-0-1009-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10026587,
A10026587,DEV-DONGTAN2,레이크반도유보라아이비파크9.0,경기도 화성동탄구 장지동 1009,경기도 화성시 동탄대로4길 95,2017-12-28,장지동,,41590,13600,0,1009,0000,4159013600,legacy,A10026587,41590-13600-0-1009-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10026587,
A10026473,DEV-DONGTAN2,동탄2 LH1단지 A6블록아파트,경기도 화성동탄구 영천동,경기도 화성시 동탄대로24가길 27,2018-01-15,영천동,,41597,10600,0,0000,0000,4159710600,new,,41597-10600-0-0000-0000,FAIL,SUCCESS,code_go_kr:active,False,False,A10026473|A10026518|A10026029|A10024039,DUP_COUNT: 4
A10026473,DEV-DONGTAN2,동탄2 LH1단지 A6블록아파트,경기도 화성동탄구 영천동,경기도 화성시 동탄대로24가길 27,2018-01-15,영천동,,41590,13100,0,0000,0000,4159013100,legacy,A10026473,41590-13100-0-0000-0000,FAIL,SUCCESS,code_go_kr:abolished,True,False,A10026473|A10026518|A10026029|A10024039,DUP_COUNT: 4
A10026355,DEV-DONGTAN2,동탄2 반도유보라아이비파크4차아파트,경기도 화성동탄구 청계동 536,경기도 화성시 동탄대로시범길 134,2018-01-29,청계동,,41597,10500,0,0536,0000,4159710500,new,,41597-10500-0-0536-0000,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10026355,
A10026355,DEV-DONGTAN2,동탄2 반도유보라아이비파크4차아파트,경기도 화성동탄구 청계동 536,경기도 화성시 동탄대로시범길 134,2018-01-29,청계동,,41590,13000,0,0536,0000,4159013000,legacy,A10026355,41590-13000-0-0536-0000,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10026355,
A10026422,DEV-DONGTAN2,e편한세상동탄아파트,경기도 화성동탄구 목동 118-17,경기도 화성시 동탄순환대로20길 31,2018-01-31,목동,,41597,10900,0,0118,0017,4159710900,new,,41597-10900-0-0118-0017,SUCCESS,SUCCESS,code_go_kr:active,False,False,A10026422,
A10026422,DEV-DONGTAN2,e편한세상동탄아파트,경기도 화성동탄구 목동 118-17,경기도 화성시 동탄순환대로20길 31,2018-01-31,목동,,41590,13400,0,0118,0017,4159013400,legacy,A10026422,41590-13400-0-0118-0017,SUCCESS,SUCCESS,code_go_kr:abolished,True,False,A10026422,
