cand_id,development,event_type,source_type,title,publisher,published_date,source_url,file_kind,event_date_초안,date_precision,mode,scope,promise_verb_원문표기,page_or_section,exact_excerpt,confidence,notes,url_clean,domain_check,http_status,file_kind_actual,kind_mismatch,sha256_raw,bytes,local_path,sha256_text,dup_of,excerpt_found,excerpt_sim,retrieved_at,review_status,reject_reason
C03,김포 한강,actual_operation,운영기관 공지,"8849번(하남-미사-김포,인천공항) 운행시간 정보",하남시,2024-01-02,https://www.hanam.go.kr/www/contents.do?key=3262,html,2024-01-02,day,버스 노선,개별 노선,2024년 1월 2일부터 일부 노선 통합 및 폐지,공지 본문,"BRT환승센터에서 출발하여 김포공항, 인천공항(T1, T2)으로 운행되고 있는 8849번 운행시간 정보합니다. 2024년 1월 2일(화)부터 일부 노선이 통합 및 폐지 되었습니다.",high,원문 직접 확인,https://www.hanam.go.kr/www/contents.do?key=3262,ALLOW,200,html,,08bd470d778e7846c46e553e410cfe82112162b8754acb030315bc5e98978d3c,309650,evidence\documents\김포 한강\2024-01-02_8849번_하남-미사-김포_인천공항__운행시간_정보.html,04a557fe329c1811a69810a60482de245ad300892496189604bf6e50d0036954,,N,0.675,2026-08-26T20:20:18+09:00,needs_human,인용문:N
C04,김포 한강,actual_operation,언론 단서,화성 동탄신도시∼김포공항 버스 노선 내달 1일부터 운행,연합뉴스,2023-01-31,원문: 화성시 공지 URL 필요,html,2023-02-01,day,버스 노선,개별 노선,2월 1일 운행을 시작,기사 본문,(화성=연합뉴스) 최해민 기자 = 경기 화성 동탄신도시에서 김포공항을 연결하는 8840번 공항버스가 내달 1일 운행을 시작한다.,low,단서기사: https://www.yna.co.kr/view/AKR20230131105400061. 원문 화성시 공지 URL 미확인,화성시 공지 URL 필요,UNKNOWN,INVALID_URL,,,,0,,,,,,2026-08-26T20:20:18+09:00,rejected,비원문/URL불량
A05,위례,occupancy_start,국토해양부 보도자료,위례신도시 보금자리 2949가구 내달 5일부터 본청약,국토해양부,2011-11-29,https://www.korea.kr/news/policyNewsView.do?newsId=148723111,html,2013년말,year,분양,지구 전체,주민입주는 2013년말 경 이루어질 예정이다,보도자료 본문,"사업시행자인 LH는 11월 30일 일간신문 및 LH 분양임대 청약시스템을 통해 입주자 모집공고를 한 후 12월 5일부터 12월 16일까지 분양신청을 접수한다. 이번 본청약 신청자에 대한 최종 당첨자 발표는 내년 1월 9일 예정이며, 주민입주는 2013년말 경 이루어질 예정이다.",high,원문 직접 확인,https://www.korea.kr/news/policyNewsView.do?newsId=148723111,ALLOW,200,html,,0d97e44a94f96b7a2b340bfcb7c3a8364acd7bed754b4c12ace566c1aa71f6c2,158590,evidence\documents\위례\2011-11-29_위례신도시_보금자리_2949가구_내달_5일부터_본청약.html,d8fbc80a2456fd3a8a3a0cb52cb78298318e3f09e4fa0df73343c1c7f6022688,,N,0.7,2026-08-26T20:20:22+09:00,needs_human,인용문:N
A06,위례,occupancy_start,공공기관 공고,"위례지구 A1-5BL, A1-12BL 분양주택 입주자 모집",SH공사,2020-11-19,https://mediahub.seoul.go.kr/archives/1302679,html,2021.8.,month,분양,개별 블록,입주는 2021년 8월 예정이다,공고문 본문,"서울주택도시공사가 19일 위례지구 A1-5BL, A1-12BL 분양주택의 입주자를 모집한다고 19일 공고했다. 이르면 내년 8월 입주할 수 있는 위례신도시 공공분양 2개 블록의 입주자 모집공고가 나왔다.",high,원문 직접 확인,https://mediahub.seoul.go.kr/archives/1302679,ALLOW,200,html,,9bfb5fd75d138d350deeff3a082f5c7910d568cbe9f2b4d933ea1bab35950a26,127826,evidence\documents\위례\2020-11-19_위례지구_A1-5BL__A1-12BL_분양주택_입주자_모집.html,e5f3388770a38866ef0c70e3846b9fd4a7511217164282a3a988147b8f925a79,,N,0.725,2026-08-26T20:20:25+09:00,needs_human,인용문:N
B05,위례,promise_date,국토교통부 보도자료,"국토부, 위례신도시 광역교통대책 확정",국토교통부,2014-05-15,https://www.yna.co.kr/view/AKR20140515134000003,html,2014-05-15,day,광역교통,지구 전체,위례신도시 광역교통개선대책 변경안 확정,보도자료 본문,국토교통부는 위례신사선과 위례선 건설 계획 등을 포함한 '위례신도시 광역교통개선대책 변경안'을 확정했다고 15일 밝혔다. 국토부는 2008년 위례신도시 광역교통개선대책을 확정했다가 이를 변경한 것이라고 설명했다.,high,단서기사: 연합뉴스. 원문 국토부 보도자료 URL 필요,https://www.yna.co.kr/view/AKR20140515134000003,DENY,DENIED,,,,0,,,,,,2026-08-26T20:20:25+09:00,rejected,비원문/URL불량
B06,위례,promise_date,지자체 페이지,위례신도시 광역교통 개선대책,송파구청,2022-10-11,https://www.songpa.go.kr/www/contents.do?key=3343&,html,2014.5.12,day,광역교통,지구 전체,2014.5.12 광역교통개선대책 변경 확정,페이지 본문,"총 21개 광역교통개선사업, 3조 7,648억원 투입 ('14.5.12 광역교통개선대책 변경 확정). 구는 국토교통부, LH(토지주택공사), 서울시 등 관계기관의 밀도 있는 협의를 통해 위례신도시 개발에 따른 교통혼잡을 완화시키기 위해 광역 교통개선대책을 2014.5월 최종 확정하였다.",high,원문 직접 확인,https://www.songpa.go.kr/www/contents.do?key=3343&,ALLOW,200,html,,d525efe8604cad985bae0ae4894829116ca3a99fb4e9b575ad4734fcf05434eb,517093,evidence\documents\위례\2022-10-11_위례신도시_광역교통_개선대책.html,8f005efa6ca514a576aa83566d04278b29ee6b023d18f0200b95acd8aa8e2d36,,N,0.575,2026-08-26T20:20:29+09:00,needs_human,인용문:N
C05,위례,actual_operation,국토교통부 보도자료,"대광위, 28일 위례선 도시철도사업 사업계획 승인·착공… 25년 개통",국토교통부 대도시권광역교통위원회,2022-11-28,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=1&id=95087500,html,2025년 9월,month,철도,개별 노선,'25년 9월 개통할 예정이다,보도자료 본문,국토교통부 대도시권광역교통위원회는「위례선 도시철도 건설사업」의 사업계획을 11월 28일 승인한다고 밝혔다. 사업시행자인 서울특별시에서 '22년 11월 사업을 본격 착공하여 '25년 9월 개통할 예정이다.,high,원문 직접 확인,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=1&id=95087500,ALLOW,200,html,,22dc29dedf04c77cb34775024aa5ad13c497e6c8416d7583bf027987b632af64,23025,evidence\documents\위례\2022-11-28_대광위__28일_위례선_도시철도사업_사업계획_승인_착공__25년_개통.html,9ceb325fb73ca6bcb770d175921fd7a705d96e1cfa37ecc9cda758f420cf9ae8,,N,0.675,2026-08-26T20:20:33+09:00,needs_human,인용문:N
C06,위례,actual_operation,국토교통부 보도자료,"김용석 대광위원장, 위례신도시 광역교통개선대책 점검",국토교통부 대도시권광역교통위원회,2026-02-26,https://www.molit.go.kr/USR/NEWS/dtl.jsp?lcmspage=15&id=95091747,html,2026년,year,철도,지구 전체,"위례선 트램, 위례신사선 등 교통대책 신속추진 강조",보도자료 본문,"김용석 대도시권광역교통위원회 위원장은 26일 위례신도시를 방문하여 광역교통개선대책 추진현황을 점검했다. 입주민 교통편의 제고를 위해 위례선 트램, 위례신사선 등 교통대책 신속추진을 강조했다.",low,URL fetch 실패. 내용는 검색결과 스니펫 기반,https://www.molit.go.kr/USR/NEWS/dtl.jsp?lcmspage=15&id=95091747,ALLOW,200,html,,9d33b78322fa981272be62037cfae20837fac617fddb71188aaa84ba0a2b9959,61661,evidence\documents\위례\2026-02-26_김용석_대광위원장__위례신도시_광역교통개선대책_점검.html,00611cfb296dd0be8c0ed1c9dc7f86d965519bed620d2be3e9275f4a41a656c4,,N,0.65,2026-08-26T20:20:37+09:00,needs_human,인용문:N
A07,남양주 다산,occupancy_start,공공기관 공고,다산신도시 지금지구 A1블록 국민임대주택 입주자모집공고,LH,2015-08-11,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=7766,html,2016년,year,임대,개별 블록,입주예정연도: 2016년,공고문 본문,"다산신도시 지금지구 A1블록 국민임대주택 입주자모집공고. 입주대상 신혼부부, 주거취약계층, 저소득층, 무주택자.",high,원문 직접 확인,https://www.myhome.go.kr/hws/portal/sch/selectRsdtRcritNtcDetailView.do?pblancId=7766,ALLOW,200,html,,2514f69cab8c2f81040add73d02a37db5347508a5714c2acfa347bfffe0258d4,166818,evidence\documents\남양주 다산\2015-08-11_다산신도시_지금지구_A1블록_국민임대주택_입주자모집공고.html,45a1fc3095148b3ed95c997827d0c1951809261b9cf4fd7e598973b5c1625333,,N,0.767,2026-08-26T20:20:41+09:00,needs_human,인용문:N
A08,남양주 다산,occupancy_start,공공기관 공고,남양주 다산역 A2 경기행복주택 입주자모집,LH,2018-12-12,https://blog.naver.com/wise8949/221417570455,html,2019년,year,임대,개별 블록,입주예정연도: 2019년,블로그 요약,"전용면적 24㎡ 123가구, 전용면적 33㎡ 65가구, 전용면적 36㎡ 586가구, 전용면적 44㎡ 20가구이며 794가구를 모집합니다.",low,원문 LH 공고 URL 필요. 현재는 블로그 요약,https://blog.naver.com/wise8949/221417570455,DENY,DENIED,,,,0,,,,,,2026-08-26T20:20:41+09:00,rejected,비원문/URL불량
B07,남양주 다산,promise_date,국토교통부 보도자료,남양주왕숙·고양창릉 신도시 교통대책 확정!,국토교통부,2020-12-29,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=2&id=95084988,html,2020-12-29,day,광역교통,지구 전체,남양주왕숙 광역교통개선대책 확정,보도자료 본문,국토교통부는 대도시권광역교통위원회 심의('20.12.4)를 거쳐 남양주왕숙(6만 6천호)과 고양창릉(3만 8천호)의 광역교통개선대책을 확정하였다.,high,원문 직접 확인,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=2&id=95084988,ALLOW,200,html,,773ef92a950674c20a9fb0ee461fea3e5344baeb0c2fb6d8346a5011f0d3c107,35788,evidence\documents\남양주 다산\2020-12-29_남양주왕숙_고양창릉_신도시_교통대책_확정_.html,287fe33b78025c040b8c36ebe40fdddce978045c640afb91db00f75228b3839d,,Y,1.0,2026-08-26T20:20:44+09:00,link_verified,
B08,남양주 다산,promise_date,국토교통부 보도자료,"8월 별내선 개통, 버스 18개 노선 · 34대 증차 … 수도권 동부지역 출퇴근 30분 시대",국토교통부 대도시권광역교통위원회,2024-07-18,https://blog.naver.com/mltmkr/223516805632,html,2024-08,month,버스,지구 전체,다산역 9개 노선 변경 및 16대를 증차,보도자료 본문,"국토교통부 대도시권광역교통위원회는 """"출퇴근 30분 시대"""" 실현을 위한 수도권 동부지역 교통편의 제고 방안을 발표했다. 다산역 9개 노선 변경 및 16대를 증차한다.",high,원문 블로그 요약. PDF 원문: 240719(조간)수도권동부지역_출퇴근_30분시대실현_4.4조원규모의철도·도로사업본격추진(광역교통정책과).pdf,https://blog.naver.com/mltmkr/223516805632,DENY,DENIED,,,,0,,,,,,2026-08-26T20:20:44+09:00,rejected,비원문/URL불량
C07,남양주 다산,actual_operation,지자체 공지,다산역 개통에 따른 버스노선 변경 알림,남양주시,2024-07-03,https://www.nyj.go.kr/www/selectBbsNttView.do?key=2481&bbsNo=62&nttNo=482937,html,2024.07.13.,day,버스 노선,개별 노선,노선변경예정일: 2024.07.13.(토) 첫차부터,공지 본문,"다산역 개통대비 다산역 인근 버스노선을 붙임과 같이 원복 및 변경하고자 하니 버스이용에 참고하시기 바랍니다. 5개노선（34번, 땡큐 10번, 땡큐 11번, 땡큐 12번, 170번）. 노선변경예정일: 2024.07.13.(토) 첫차부터.",high,원문 직접 확인,https://www.nyj.go.kr/www/selectBbsNttView.do?key=2481&bbsNo=62&nttNo=482937,ALLOW,200,html,,a6d4837d85331f74a95b9c531d00a4408cda460dd10a7dbd2df4eed29ca65a66,308399,evidence\documents\남양주 다산\2024-07-03_다산역_개통에_따른_버스노선_변경_알림.html,53661197dd75be8a92f6d672a4b84e0c02ba01d8692a2de24affc75d619a984a,,N,0.8,2026-08-26T20:20:48+09:00,needs_human,인용문:N
C08,남양주 다산,actual_operation,지자체 공지,남양주시 땡큐버스 노선체계 개선…공약이행,남양주시,2022-12-29,https://m.ekn.kr/view.php?key=20221229010006452,html,2023-01-01,day,버스 노선,개별 노선,내년 1월 1일부터 땡큐버스 4개 노선 경로 변경,기사 본문,"남양주시가 내년 1월 1일부터 땡큐 10번, 땡큐 11번, 땡큐 12번, 땡큐 58-3번 등 땡큐버스 4개 노선을 대상으로 경로 변경을 추진한다.",low,단서기사: 에너지경제신문. 원문 남양주시 공지 URL 필요,https://m.ekn.kr/view.php?key=20221229010006452,DENY,DENIED,,,,0,,,,,,2026-08-26T20:20:48+09:00,rejected,비원문/URL불량
A09,하남 미사,occupancy_start,공공기관 공고,하남미사17단지 임대주택 입주자모집공고,LH,2025-03-14,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017628&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,html,2016.07,month,임대,개별 블록,입주예정월 : 2016.07,공고문 본문,- 소재지 : 경기도 하남시 미사강변서로 167(망월동) 하남미사17단지. 입주예정월 : 2016.07. 공고일 2025.03.14.,high,원문 직접 확인,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=2015122300017628&ccrCnntSysDsCd=03&uppAisTpCd=06&aisTpCd=07&mi=1026,ALLOW,200,html,,ed89eaafefe6bedf10fbdd14d6ffd26f6db3ea172a6961e787b0659cb092edf4,253207,evidence\documents\하남 미사\2025-03-14_하남미사17단지_임대주택_입주자모집공고.html,8db6d3d815a83923deb0345374ac8c053e3339283979e2f2e7fd58e7fbeabb6b,,N,0.507,2026-08-26T20:20:51+09:00,needs_human,인용문:N
A10,하남 미사,occupancy_start,공공기관 공고,"미사강변도시 A24, A25블록 10년 공공임대주택리츠 입주자 모집",NHF제6호및제7호공공임대위탁관리부동산투자회사,2016-07-01,https://m.cafe.daum.net/apt3456/QdJA/3363,html,2016-07-01,day,임대,개별 블록,이 주택의 입주자모집공고일은 2016.7.1(금),공고문 본문,"이 주택의 입주자모집공고일은 2016.7.1(금)이며, 이는 청약자격의 판단기준일입니다. 공급위치 : 경기도 하남시 망월동, 풍산동, 선동, 덕풍동 일원 하남미사지구 내 A24, A25블록.",high,원문 직접 확인,https://m.cafe.daum.net/apt3456/QdJA/3363,DENY,DENIED,,,,0,,,,,,2026-08-26T20:20:51+09:00,rejected,비원문/URL불량
B09,하남 미사,promise_date,국토교통부 보도자료,"하남교산 신도시, 과천지구 광역교통개선대책 확정",국토교통부,2020-05-21,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?lcmspage=19&id=95083918,pdf,2020-05-21,day,광역교통,지구 전체,하남교산 신도시 광역교통개선대책 확정,보도자료 본문,"국토교통부는 하남교산 신도시, 과천지구의 광역교통개선대책을 확정하였다. 지하철, 환승센터 등을 통해 서울 도심 30분대 접근 가능한 교통대책 완비.",high,원문 PDF 첨부파일 존재,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?lcmspage=19&id=95083918,ALLOW,200,html,Y,2b2f145a9ed12d8d34b529016462b1b8f4d5683dc7a7e281dd64f99490007b41,61846,evidence\documents\하남 미사\2020-05-21_하남교산_신도시__과천지구_광역교통개선대책_확정.html,f7e2a8b0ed0c90dc6fa430e9997367742466e0f88519c36f063ba35337a47750,,N,0.726,2026-08-26T20:20:55+09:00,needs_human,파일형식불일치; 인용문:N
B10,하남 미사,promise_date,국토교통부 보도자료,"하남미사지구 광역교통개선대책 변경, 확정된 바 없어",국토교통부,2014-03-19,https://www.korea.kr/briefing/policyBriefingView.do?newsId=148775695,html,2014-03-19,day,광역교통,지구 전체,하남미사지구 광역교통개선대책 변경은 현재까지 방침이 확정된 바 없음,보도자료 본문,국토교통부는 하남미사지구 광역교통개선대책 변경은 현재까지 방침이 확정된 바 없으며 전문가의 충분한 검토를 거쳐 결정할 계획이라고 밝혔다.,high,원문 직접 확인,https://www.korea.kr/briefing/policyBriefingView.do?newsId=148775695,ALLOW,200,html,,0865ac63da6f18919fabca07bdb06cb3b8e0259aa799e6efbe4fbf0be0f72a43,151969,evidence\documents\하남 미사\2014-03-19_하남미사지구_광역교통개선대책_변경__확정된_바_없어.html,4193fa2d333c550b31d9859f4939d8e64fabfd6e61612036510c65009ec1ab19,,Y,1.0,2026-08-26T20:20:58+09:00,link_verified,
