kapt_code,complex_name,kapt_approval_date,hub_first_useAprDay,date_match_status,kapt_household_count,hub_total_hhldCnt,hhldCnt_pct_diff,hhldCnt_flag_5pct,chosen_value,chosen_by
A10025596,다산한강 반도유보라아파트 입주자대표회의,2019-03-21,2019-03-21,exact_match,1261,1261.0,0.0,False,,
A10026145,다산한양수자인리버파크,2018-07-25,,hub_missing,291,,,False,,
A10026562,다산한양수자인리버팰리스,2017-12-22,2017-12-22,exact_match,640,640.0,0.0,False,,
A10024415,다산해모로아파트,2021-02-19,2021-02-19,exact_match,449,449.0,0.0,False,,
A10026598,이편한세상 다산,2017-12-22,,hub_missing,1615,,,False,,
A10022765,해링턴플레이스 다산파크,2024-02-21,,hub_missing,350,,,False,,
A10025830,힐스테이트 다산,2018-12-28,,hub_missing,1283,,,False,,
A10027754,힐스테이트황금산아파트,2017-06-30,,hub_missing,1008,,,False,,
A10025534,덕풍역파크어울림아파트,2019-04-05,2019-04-05,exact_match,383,383.0,0.0,False,,
A10027368,하남 더샵 센트럴뷰,2016-08-19,2016-08-19,exact_match,672,672.0,0.0,False,,
A10026619,미사 레스티아 아파트,2017-10-31,2017-10-31,exact_match,1104,1104.0,0.0,False,,
A10027782,미사강변 루나리움,2015-09-30,,hub_missing,1164,,,False,,
A10027379,미사강변 센텀팰리스,2016-07-29,,hub_missing,1455,,,False,,
A10027846,미사강변 트래지안,2015-10-16,2015-10-16,exact_match,620,620.0,0.0,False,,
A10028200,미사강변 파밀리에,2014-06-12,,hub_missing,976,,,False,,
A10027537,미사강변 하우스디 더레이크,2016-05-25,2016-05-25,exact_match,821,821.0,0.0,False,,
A10028157,미사강변 한신휴플러스,2015-01-16,2015-01-16,exact_match,763,763.0,0.0,False,,
A10027691,미사강변13단지,2015-11-25,2015-11-25,exact_match,2742,2742.0,0.0,False,,
A10026105,미사강변14단지,2018-07-26,2018-07-26,exact_match,1632,1632.0,0.0,False,,
A10028139,미사강변골든센트로,2014-12-05,2014-12-05,exact_match,1541,1541.0,0.0,False,,
A10025941,미사강변도시 C3단지,2018-11-06,2018-11-06,exact_match,1492,1492.0,0.0,False,,
A10027180,미사강변스타힐스,2016-11-24,2016-11-24,exact_match,1389,1389.0,0.0,False,,
A10027978,미사강변파크뷰,2015-07-14,,hub_missing,664,,,False,,
A10027514,미사강변푸르지오,2016-04-22,2016-04-22,exact_match,1188,1188.0,0.0,False,,
A10026784,미사강변해링턴플레이스아파트,2017-09-05,2017-09-05,exact_match,1401,1401.0,0.0,False,,
A10025469,미사역 호반 써밋 아파트,2019-06-11,2019-06-11,exact_match,846,846.0,0.0,False,,
A10024211,미사역파라곤아파트,2021-07-29,2021-07-29,exact_match,925,925.0,0.0,False,,
A10027476,하남미사강변도시17단지,2016-07-04,,hub_missing,2180,,,False,,
A10026131,e-편한세상 미사 아파트,2018-06-15,2018-06-15,exact_match,652,652.0,0.0,False,,
A10025953,미사 힐즈파크 푸르지오3단지,2018-09-28,2018-09-28,exact_match,358,358.0,0.0,False,,
A10027552,미사강변 동원로얄듀크아파트,2016-04-14,2016-04-14,exact_match,808,808.0,0.0,False,,
A10026501,미사강변 동일하이빌,2018-02-06,2018-02-06,exact_match,655,655.0,0.0,False,,
A10025947,미사강변 브라운스톤,2018-11-06,2018-11-06,exact_match,871,871.0,0.0,False,,
A10026707,미사강변더샵센트럴포레아파트,2017-10-25,2017-10-25,exact_match,487,487.0,0.0,False,,
A10027308,미사강변도시26단지아파트,2016-09-08,2016-09-08,exact_match,588,588.0,0.0,False,,
A10027116,미사강변센트럴자이,2017-02-27,2017-02-27,exact_match,1222,1222.0,0.0,False,,
A10025667,미사강변센트럴풍경채아파트,2019-01-08,,hub_missing,726,,,False,,
A10025739,미사강변신안인스빌아파트,2019-01-29,2019-01-29,exact_match,734,734.0,0.0,False,,
A10025966,미사강변아란티움(25단지)아파트,2018-10-11,2018-10-11,exact_match,688,688.0,0.0,False,,
A10024890,미사힐즈파크푸르지오,2020-04-27,2020-04-27,exact_match,404,404.0,0.0,False,,
A10025991,하남 힐즈파크 푸르지오 2단지,2018-09-28,2018-09-28,exact_match,456,456.0,0.0,False,,
A10028143,리버나인 RIVERNINE,2014-07-25,,hub_missing,712,,,False,,
A10026040,리버스위트칸타빌아파트,2018-05-29,2018-05-29,exact_match,550,550.0,0.0,False,,
A10027385,미사강변 더샵리버포레 아파트,2016-07-27,,hub_missing,875,,,False,,
A10027359,미사강변2차푸르지오,2016-09-28,2016-09-28,exact_match,1066,1066.0,0.0,False,,
A10028065,미사강변도시 베라체 아파트,2015-05-12,2015-05-12,exact_match,615,615.0,0.0,False,,
A10026806,미사강변리버뷰자이,2017-08-24,,hub_missing,555,,,False,,
A10026523,미사강변리슈빌NHF,2018-01-05,,hub_missing,996,,,False,,
A10027344,미사강변센트리버,2016-09-09,2016-08-26,within_30_days,1145,1145.0,0.0,False,,
A10027070,신안인스빌아스트로,2017-02-22,2017-02-22,exact_match,694,694.0,0.0,False,,
A10027715,위례 그린파크푸르지오,2016-01-28,2016-01-28,exact_match,972,972.0,0.0,False,,
A10027546,위례 센트로엘 아파트,2016-06-03,2016-06-03,exact_match,673,673.0,0.0,False,,
A10027686,위례롯데캐슬아파트,2016-01-15,2016-01-15,exact_match,1673,1673.0,0.0,False,,
A10027741,플로리체 위례 아파트,2015-10-30,,hub_missing,970,,,False,,
A10026503,김포 반도유보라6차 아파트,2017-10-25,2017-10-25,exact_match,199,199.0,0.0,False,,
A41574205,김포한강신도시반도유보라2차,2013-11-14,2013-11-14,exact_match,1498,1498.0,0.0,False,,
A10025316,운양역 라피아노,2019-02-26,2019-02-26,exact_match,174,25.0,-85.63,True,,
A10026555,이랜드타운힐스아파트,2018-01-11,2018-01-11,exact_match,550,550.0,0.0,False,,
A41574202,일성트루엘타운하우스,2012-04-12,2012-04-12,exact_match,168,168.0,0.0,False,,
A41574206,풍경마을 래미안 한강2차,2014-06-03,2014-06-03,exact_match,1711,1711.0,0.0,False,,
A41574201,풍경마을한강신도시e편한세상,2012-07-13,2012-07-13,exact_match,955,955.0,0.0,False,,
A10027079,하늘빛마을 한신더휴테라스 11블럭,2017-02-27,2017-02-27,exact_match,157,157.0,0.0,False,,
A10027017,하늘빛마을 한신더휴테라스 8블럭,2017-02-27,2017-02-27,exact_match,232,232.0,0.0,False,,
A10025865,한강롯데캐슬22단지,2018-11-07,2018-11-07,exact_match,912,912.0,0.0,False,,
A10027631,한강신도시 운양역 푸르지오,2016-02-05,2016-02-05,exact_match,242,242.0,0.0,False,,
A10026216,한강신도시2차 KCC 스위첸 아파트,2018-02-14,2018-02-14,exact_match,1296,1296.0,0.0,False,,
A41574207,한강신도시롯데캐슬,2014-04-09,2014-04-09,exact_match,1136,1136.0,0.0,False,,
A10026608,한강신도시리버에일린의 뜰,2017-11-21,2017-11-21,exact_match,439,439.0,0.0,False,,
A41574414,한강신도시푸르지오,2013-06-14,2013-06-14,exact_match,812,812.0,0.0,False,,
A41574204,한강한라비발디,2013-06-26,2013-06-26,exact_match,857,857.0,0.0,False,,
A10027093,한신더휴테라스 9블럭,2017-02-27,2017-02-27,exact_match,184,184.0,0.0,False,,
A10027030,한신더휴테라스12BL아파트,2017-04-28,2017-04-28,exact_match,351,351.0,0.0,False,,
A41574203,화성파크드림,2012-06-25,2012-06-25,exact_match,648,648.0,0.0,False,,
A41574410,고창마을KCC스위첸,2011-10-31,2011-10-31,exact_match,1090,1090.0,0.0,False,,
A10026825,김포e편한세상캐널시티주상복합,2017-08-30,2017-08-30,exact_match,639,639.0,0.0,False,,
A10024637,김포장기 LH11단지,2020-09-21,2020-09-21,exact_match,196,196.0,0.0,False,,
A41574406,김포한강 수정마을2단지,2011-07-12,2011-07-12,exact_match,1250,1250.0,0.0,False,,
A10025059,김포한강 호반베르디움 더 퍼스트,2020-02-03,2020-02-03,exact_match,696,696.0,0.0,False,,
A41574408,김포한양수자인리버팰리스,2012-02-28,2012-02-28,exact_match,1473,1473.0,0.0,False,,
A41574405,쌍용예가,2011-06-29,2011-06-29,exact_match,1474,1474.0,0.0,False,,
A41574404,우남퍼스트빌,2011-06-15,2011-06-15,exact_match,1202,1202.0,0.0,False,,
A41574416,청송마을모아미래도엘가,2014-06-16,2014-06-16,exact_match,1060,1060.0,0.0,False,,
A41574407,초당마을래미안한강,2012-02-21,2012-02-21,exact_match,579,579.0,0.0,False,,
A41574412,초당마을중흥S클래스리버티,2012-06-28,2012-06-28,exact_match,1470,1470.0,0.0,False,,
A10027199,한강센트럴자이1단지,2017-01-20,,hub_missing,3481,,,False,,
A10026990,한강센트럴자이2차,2017-05-29,,hub_missing,598,,,False,,
A41574409,한강신도시중흥S-클래스파크애비뉴,2012-02-08,2012-02-08,exact_match,1007,1007.0,0.0,False,,
A41574411,한강현대성우오스타,2012-05-30,2012-05-30,exact_match,465,465.0,0.0,False,,
A41574413,한강호반베르디움,2012-06-15,2012-06-15,exact_match,1584,1584.0,0.0,False,,
A10026098,e편한세상한강신도시2차,2018-05-03,2018-05-03,exact_match,807,807.0,0.0,False,,
A41576914,김포한강 경남아너스빌,2013-01-10,2013-01-10,exact_match,976,976.0,0.0,False,,
A41576912,김포한강LH솔터마을2단지,2011-11-18,2011-11-18,exact_match,1860,1860.0,0.0,False,,
A47172601,김포한강LH솔터마을3단지,2012-11-23,2012-11-23,exact_match,2230,2230.0,0.0,False,,
A41590101,김포한강상록데시앙,2013-11-01,2013-11-01,exact_match,490,490.0,0.0,False,,
A10026763,김포한강신도시 레이크에일린의 뜰,2017-09-15,2017-09-15,exact_match,578,578.0,0.0,False,,
A10025814,자이더빌리지 포레스트,2018-06-19,,hub_missing,184,,,False,,
A10024486,한강동일스위트더파크뷰1단지아파트,2020-12-17,,hub_missing,1021,,,False,,
A10024478,한강동일스위트더파크뷰2단지,2020-12-17,,hub_missing,711,,,False,,
A10026773,한강센트럴블루힐,2017-08-14,2017-08-14,exact_match,1763,1763.0,0.0,False,,
A10027062,한강신도시 반도유보라3차,2017-02-13,2017-02-13,exact_match,662,662.0,0.0,False,,
A41576916,한강힐스테이트아파트,2013-02-28,,hub_missing,1382,,,False,,
A10027505,LH호수마을 5단지아파트,2016-04-21,2016-04-21,exact_match,890,890.0,0.0,False,,
A41576913,구래역 한강리슈빌아파트 입주자대표회의,2012-12-27,,hub_missing,572,,,False,,
A10027957,구래역화성파크드림아파트,2015-06-29,,hub_missing,820,,,False,,
A41576911,김포한가람우미린,2011-10-28,2011-10-28,exact_match,1058,1058.0,0.0,False,,
A10024790,김포한강 데세리브아파트,2020-06-15,,hub_missing,434,,,False,,
A41576918,김포한강나비마을3단지,2014-09-29,2014-09-29,exact_match,690,690.0,0.0,False,,
A10026654,김포한강신도시 모아엘가 2차아파트,2017-11-23,2017-11-23,exact_match,493,493.0,0.0,False,,
A10026448,김포한강아이파크,2018-02-19,2018-02-19,exact_match,1230,1230.0,0.0,False,,
A10025919,김포한강예미지 아파트,2018-09-28,2018-09-28,exact_match,1770,1770.0,0.0,False,,
A10026155,김포한강한가람LH2단지,2018-03-09,2018-03-09,exact_match,1500,1500.0,0.0,False,,
A10026529,한강신도시 반도유보라4차아파트,2018-01-24,2018-01-24,exact_match,461,461.0,0.0,False,,
A10026458,한강신도시 반도유보라5차아파트,2018-01-23,,hub_missing,480,,,False,,
A10027014,한강신도시3차푸르지오,2017-05-23,2017-05-23,exact_match,1510,1510.0,0.0,False,,
A10025936,호반베르디움 더 레이크 2차,2018-11-02,2018-11-02,exact_match,344,344.0,0.0,False,,
A10025866,호반베르디움 더 레이크 3차 아파트,2018-12-04,2018-12-04,exact_match,336,336.0,0.0,False,,
A10026066,호반베르디움 더 레이크5차,2018-08-31,2018-08-31,exact_match,266,266.0,0.0,False,,
A41576915,호수마을e편한세상,2013-02-26,2013-02-26,exact_match,1167,1167.0,0.0,False,,
A41576917,호수마을이편한세상3단지,2014-02-25,2014-02-25,exact_match,551,559.0,1.45,False,,
A10026355,동탄2 반도유보라아이비파크4차아파트,2018-01-29,2018-01-29,exact_match,740,740.0,0.0,False,,
A10028171,동탄역 시범 리슈빌아파트,2015-01-29,2015-01-29,exact_match,656,656.0,0.0,False,,
A10028167,동탄역 시범 예미지 아파트,2015-01-28,,hub_missing,485,,,False,,
A10027768,동탄역 시범반도유보라아이비파크1.0,2015-12-22,,hub_missing,904,,,False,,
A10028055,동탄역 시범우남퍼스트빌,2015-02-12,,hub_missing,1442,,,False,,
A10027646,동탄역 신안인스빌리베라,2015-10-19,2015-10-19,exact_match,913,913.0,0.0,False,,
A10028002,동탄역KCC스위첸아파트,2015-02-11,,hub_missing,640,,,False,,
A10027732,동탄역대원칸타빌 포레지움,2015-08-30,,hub_missing,714,,,False,,
A10027117,동탄역더힐아파트,2017-02-28,2017-02-28,exact_match,718,718.0,0.0,False,,
A10027890,동탄역롯데캐슬알바트로스아파트,2015-07-03,,hub_missing,1416,,,False,,
A10028158,동탄역모아미래도아파트,2015-01-23,,hub_missing,460,,,False,,
A10027928,동탄역센트럴푸르지오,2015-06-12,,hub_missing,1348,,,False,,
A10026909,동탄역시범 금강펜테리움 센트럴파크3,2017-06-29,,hub_missing,252,,,False,,
A10028120,동탄역시범대원칸타빌,2015-03-30,2015-03-30,exact_match,498,498.0,0.0,False,,
A10027729,동탄역시범더샵센트럴시티아파트,2015-08-21,2015-08-21,exact_match,874,874.0,0.0,False,,
A10027830,동탄역시범한화꿈에그린프레스티지아파트,2015-09-25,,hub_missing,1817,,,False,,
A10028048,동탄역시범호반써밋,2015-02-12,2015-02-12,exact_match,1002,1002.0,0.0,False,,
A10027966,동탄역호반써밋,2015-07-10,,hub_missing,922,,,False,,
A10027334,신안인스빌리베라2차아파트,2016-10-18,2016-10-18,exact_match,644,644.0,0.0,False,,
A10026029,동원로얄듀크1차아파트,2018-07-16,,hub_missing,434,,,False,,
A10024530,동원로얄듀크포레4차,2020-10-21,,hub_missing,196,,,False,,
A10027806,동탄2 LH 4단지,2015-12-02,2015-12-02,exact_match,2147,2147.0,0.0,False,,
A10026473,동탄2 LH1단지 A6블록아파트,2018-01-15,,hub_missing,946,,,False,,
A10024706,동탄2 LH2단지 A4-1블럭 행복주택,2020-08-13,,hub_missing,1640,,,False,,
A10024039,동탄2 LH2단지 A4-2BL,2021-11-18,,hub_missing,1390,,,False,,
A10027386,동탄2 경남아너스빌아파트,2016-07-20,2016-07-20,exact_match,344,344.0,0.0,False,,
A10024368,동탄역 대방디엠시티 더 센텀 아파트,2021-01-28,,hub_missing,463,,,False,,
A10026740,동탄역 센트럴예미지 아파트,2017-09-27,2017-09-27,exact_match,451,451.0,0.0,False,,
A10027122,동탄역 포레너스 입주자대표회의,2017-03-06,2017-03-06,exact_match,1316,1316.0,0.0,False,,
A10027606,동탄역반도유보라아이비파크2.0 아파트,2016-02-05,2016-02-05,exact_match,999,999.0,0.0,False,,
A10026888,동탄역센트럴상록아파트,2017-06-30,2017-06-30,exact_match,1005,1005.0,0.0,False,,
A10028071,동탄역센트럴자이아파트,2015-01-29,2015-01-29,exact_match,559,559.0,0.0,False,,
A10028132,동탄역이지더원아파트,2015-02-05,2015-02-05,exact_match,642,642.0,0.0,False,,
A10026957,동탄역푸르지오,2017-06-23,,hub_missing,832,,,False,,
A10025276,동탄중흥에스클래스파크더테라스,2019-09-30,,hub_missing,162,,,False,,
A10026074,동탄파크자이아파트,2018-07-30,,hub_missing,979,,,False,,
A10026518,동탄파크푸르지오아파트,2018-01-15,,hub_missing,913,0.0,-100.0,True,,
A10025360,동탄파크한양수자인,2019-07-26,,hub_missing,806,,,False,,
A10026464,동탄행복마을푸르지오,2018-02-12,2018-02-12,exact_match,1135,1135.0,0.0,False,,
A10027798,화성동탄상록리슈빌아파트,2015-11-11,,hub_missing,672,,,False,,
A10024467,힐스테이트동탄역,2020-12-23,2020-12-23,exact_match,443,443.0,0.0,False,,
A10022882,동탄(2) 38단지 행복주택,2023-11-20,,hub_missing,1350,,,False,,
A10023757,동탄2 LH40단지,2022-06-15,2022-06-15,exact_match,850,850.0,0.0,False,,
A10023650,동탄2 디에트르 포레,2022-09-01,,hub_missing,1171,,,False,,
A10022611,제일풍경채 퍼스티어,2024-04-30,,hub_missing,308,,,False,,
A10023459,호반써밋 동탄 아파트,2022-12-27,,hub_missing,744,0.0,-100.0,True,,
A10023273,화성동탄2LH행복주택38단지,2023-04-10,,hub_missing,700,,,False,,
A10022628,화성동탄로렌하우스,2023-07-28,,hub_missing,332,,,False,,
A10022595,힐스테이트동탄포레아파트,2024-04-29,,hub_missing,585,,,False,,
A10026422,e편한세상동탄아파트,2018-01-31,,hub_missing,1526,,,False,,
A10025880,동탄 2 NHF 경남 아너스빌 아파트,2018-12-06,,hub_missing,924,,,False,,
A10025622,동탄 동원로얄듀크2차,2019-03-07,,hub_missing,761,,,False,,
A10026985,동탄 호반써밋포레,2017-06-02,2017-06-02,exact_match,1695,1695.0,0.0,False,,
A10026689,동탄2 르파비스,2017-11-07,,hub_missing,876,,,False,,
A10025968,동탄2신도시 베라체아파트,2018-10-04,,hub_missing,859,,,False,,
A10026535,동탄금강펜테리움센트럴파크4,2018-01-30,,hub_missing,1195,,,False,,
A10026087,한신더휴아파트,2018-08-14,,hub_missing,930,,,False,,
A10026584,호반베르디움22단지,2017-12-11,,hub_missing,746,,,False,,
A10025603,힐스테이트동탄,2019-02-22,,hub_missing,1479,0.0,-100.0,True,,
A10025868,더레이크 에듀파크 아파트 입주자대표회의,2018-11-29,2018-11-29,exact_match,520,520.0,0.0,False,,
A10025885,더레이크파크뷰아파트,2018-11-28,2018-11-28,exact_match,641,641.0,0.0,False,,
A10025909,동탄  더  레이크 팰리스,2018-11-29,,hub_missing,706,,,False,,
A10025680,동탄 더샵 레이크에듀타운아파트,2019-03-01,2019-03-01,exact_match,1538,1538.0,0.0,False,,
A10025529,동탄 중흥S클래스 에듀하이 아파트,2019-04-05,,hub_missing,1194,,,False,,
A10026496,동탄2 서희스타힐스24단지,2017-11-22,,hub_missing,882,,,False,,
A10024732,동탄2 하우스디 NHF아파트,2020-08-06,2020-08-06,exact_match,872,872.0,0.0,False,,
A10024759,동탄2A63블럭 센트럴써밋,2020-07-08,,hub_missing,740,,,False,,
A10024592,동탄2LH35단지,2020-10-16,2020-10-16,exact_match,1768,1768.0,0.0,False,,
A10024841,동탄2LH행복주택35단지,2020-06-19,2020-06-19,exact_match,900,900.0,0.0,False,,
A10024496,동탄호수공원 경기행복주택,2020-10-16,2020-10-16,exact_match,995,995.0,0.0,False,,
A10026788,동탄호수공원금강펜테리움센트럴파크2차,2017-07-28,,hub_missing,908,,,False,,
A10025900,동탄호수공원역 레이크시티 아파트,2018-11-28,2018-11-28,exact_match,818,818.0,0.0,False,,
A10026127,반도유보라아이비파크 10.0 1단지,2018-07-19,,hub_missing,1241,,,False,,
A10025824,유보라아이비파크 10.0 2단지,2018-12-14,,hub_missing,1515,,,False,,
A10025510,호수공원역 센트럴시티,2019-05-17,,hub_missing,1080,,,False,,
A10025798,호수공원역 센트리체,2018-12-12,,hub_missing,868,,,False,,
A10022646,e편한세상 동탄호수,2024-04-12,2024-04-12,exact_match,1227,1227.0,0.0,False,,
A10026103,금호어울림레이크아파트,2018-06-21,2018-06-21,exact_match,812,812.0,0.0,False,,
A10025590,동탄2 IPARK 1단지 아파트,2019-03-20,,hub_missing,470,,,False,,
A10026206,동탄2 롯데캐슬,2018-06-01,,hub_missing,612,,,False,,
A10025583,동탄2 아이파크A100BL,2019-03-20,,hub_missing,510,,,False,,
A10025183,동탄2 풍림아이원아파트,2019-11-14,,hub_missing,448,,,False,,
A10026067,동탄2제일풍경채아파트,2018-08-27,,hub_missing,624,,,False,,
A10025552,동탄금호어울림레이크2차,2019-03-15,2019-03-15,exact_match,681,681.0,0.0,False,,
A10025020,동탄레이크자연앤푸르지오아파트,2020-02-21,2020-02-21,exact_match,704,704.0,0.0,False,,
A10026126,동탄호반베르디움6차아파트,2018-07-05,,hub_missing,14,,,False,,
A10024111,동탄호수공원리슈빌아파트,2021-09-29,2021-09-29,exact_match,762,762.0,0.0,False,,
A10025312,동탄호수공원아이파크 아파트,2019-07-30,2019-07-30,exact_match,774,774.0,0.0,False,,
A10024177,동탄호수우남더테라스,2021-07-29,2021-07-29,exact_match,238,238.0,0.0,False,,
A10026380,동탄호수자이파밀리에,2018-03-12,,hub_missing,1067,,,False,,
A10024091,동탄호수하우스디아파트,2021-10-21,2021-10-21,exact_match,516,516.0,0.0,False,,
A10026587,레이크반도유보라아이비파크9.0,2017-12-28,2017-12-28,exact_match,689,689.0,0.0,False,,
A10024525,한화포레나동탄호수,2020-09-28,2020-09-28,exact_match,800,800.0,0.0,False,,
A10025520,행복주택28단지,2019-05-13,,hub_missing,816,,,False,,
A10025473,화성동탄2 NHF 엘크루 아파트,2019-06-07,,hub_missing,856,,,False,,
A10027291,동탄2 LH26단지(65BL)아파트,2016-11-03,2016-11-03,exact_match,917,917.0,0.0,False,,
A10027281,동탄2신도시 하우스디 더 레이크,2016-11-03,2016-11-03,exact_match,1552,1552.0,0.0,False,,
A10026319,동탄레이크자이더테라스,2018-04-11,2018-04-11,exact_match,483,367.0,-24.02,True,,
A10025093,동탄린스트라우스더레이크,2019-12-19,,hub_missing,956,,,False,,
A10027133,동탄2 LH C26단지 행복주택,2017-02-13,2017-02-13,exact_match,608,608.0,0.0,False,,
A10027436,동탄2 금강펜테리움 1차아파트,2016-07-25,,hub_missing,827,,,False,,
A10027465,동탄2 반도유보라아이비파크3차아파트,2016-07-20,,hub_missing,1135,,,False,,
A10026132,동탄역 더샵센트럴시티2차아파트,2018-07-25,,hub_missing,745,,,False,,
A10025005,동탄역 동원로얄듀크비스타3차,2020-02-26,2020-02-26,exact_match,278,278.0,0.0,False,,
A10024218,동탄역 롯데캐슬 아파트,2021-06-29,,hub_missing,940,0.0,-100.0,True,,
A10026008,동탄역 린스트라우스,2018-09-06,2018-09-06,exact_match,617,617.0,0.0,False,,
A10025962,동탄역 반도유보라 아이비파크 8차아파트,2018-10-19,2018-10-19,exact_match,671,671.0,0.0,False,,
A10025771,동탄역 반도유보라 아이비파크7.0 아파트,2019-01-16,2019-01-16,exact_match,710,710.0,0.0,False,,
A10026805,동탄역 반도유보라아이비파크5차,2017-09-14,2017-09-14,exact_match,545,545.0,0.0,False,,
A10026774,동탄역 반도유보라아이비파크6차,2017-09-14,2017-09-14,exact_match,532,532.0,0.0,False,,
A10024106,동탄역 예미지 시그너스 아파트,2021-10-21,,hub_missing,498,,,False,,
A10025790,동탄역 중흥S-클래스아파트,2019-01-09,1993-12-29,conflict,436,0.0,-100.0,True,,
A10023573,동탄역삼정그린코아더베스트,2022-10-14,2022-10-14,exact_match,183,183.0,0.0,False,,
A10027257,동탄역에일린의 뜰,2016-12-09,2016-12-09,exact_match,489,489.0,0.0,False,,
